         500
  0.182574  0.258199  0.316228  0.365148  0.408248  0.447214  0.483046  0.516398
  0.547723  0.577350  0.605530  0.632456  0.658281  0.683130  0.707107  0.730297
  0.752773  0.774597  0.795822  0.816497  0.836660  0.856349  0.875595  0.894427
  0.912871  0.930949  0.948683  0.966092  0.983192  1.000000  1.016530  1.032796
  1.048809  1.064581  1.080124  1.095445  1.110555  1.125463  1.140175  1.154701
  1.169045  1.183216  1.197219  1.211060  1.224745  1.238278  1.251666  1.264911
  1.278019  1.290995  1.303841  1.316561  1.329160  1.341641  1.354006  1.366260
  1.378405  1.390444  1.402379  1.414214  1.425950  1.437591  1.449138  1.460594
  1.471960  1.483240  1.494434  1.505545  1.516575  1.527525  1.538397  1.549193
  1.559915  1.570563  1.581139  1.591645  1.602082  1.612452  1.622755  1.632993
  1.643168  1.653280  1.663330  1.673320  1.683251  1.693123  1.702939  1.712698
  1.722401  1.732051  1.741647  1.751190  1.760682  1.770122  1.779513  1.788854
  1.798147  1.807392  1.816590  1.825742  1.834848  1.843909  1.852926  1.861899
  1.870829  1.879716  1.888562  1.897367  1.906130  1.914854  1.923538  1.932184
  1.940790  1.949359  1.957890  1.966384  1.974842  1.983263  1.991649  2.000000
  2.008316  2.016598  2.024846  2.033060  2.041242  2.049390  2.057507  2.065591
  2.073644  2.081666  2.089657  2.097618  2.105548  2.113449  2.121320  2.129163
  2.136976  2.144761  2.152518  2.160247  2.167948  2.175622  2.183270  2.190890
  2.198484  2.206052  2.213594  2.221111  2.228602  2.236068  2.243509  2.250926
  2.258318  2.265686  2.273030  2.280351  2.287648  2.294922  2.302173  2.309401
  2.316607  2.323790  2.330951  2.338090  2.345208  2.352304  2.359379  2.366432
  2.373465  2.380476  2.387467  2.394438  2.401389  2.408319  2.415230  2.422120
  2.428992  2.435843  2.442676  2.449490  2.456285  2.463061  2.469818  2.828427
  2.483278  2.489980  2.496665  2.503331  2.509980  2.516612  2.523226  2.529822
  2.536402  2.542964  2.549510  2.556039  2.562551  2.569046  2.575526  2.581989
  2.588436  2.594867  2.601282  2.607681  2.614064  2.620433  2.626785  2.633122
  2.639445  2.645751  2.652043  2.658320  2.664582  2.670830  2.677063  2.683282
  2.689486  2.695676  2.701851  2.708013  2.714160  2.720294  2.726414  2.732520
  2.738613  2.744692  2.750757  2.756810  2.762849  2.768875  2.774887  2.780887
  2.786874  2.792848  2.798809  2.804758  2.810694  2.816617  2.822529  2.476557
  2.834314  2.840188  2.846050  2.851900  2.857738  2.863564  2.869379  2.875181
  2.880972  2.886751  2.892519  2.898275  2.904020  2.909754  2.915476  2.921187
  2.926887  2.932576  2.938254  2.943920  2.949576  2.955221  2.960856  2.966480
  2.972093  2.977695  2.983287  2.988868  2.994439  3.000000  3.005550  3.011091
  3.016621  3.022141  3.027650  3.033150  3.038640  3.044120  3.049590  3.055051
  3.060501  3.065942  4.078399  3.076795  3.082207  3.087610  3.093003  3.098387
  3.103761  3.109126  3.114482  3.119829  3.125167  3.130495  3.135815  3.141125
  3.146427  3.151719  3.157003  3.162278  3.167544  3.172801  3.178050  3.183290
  3.188521  3.193744  3.198958  3.204164  3.209361  3.214550  3.219731  3.224903
  3.230067  3.235223  3.240371  3.245510  3.250641  3.255764  3.260879  3.265986
  3.271086  3.276177  3.281260  3.286335  3.291403  3.296463  3.301515  3.306559
  3.311596  3.316625  3.321646  3.326660  3.331666  3.336665  3.341656  3.346640
  3.351617  3.356586  3.361547  3.366502  3.371449  3.376389  3.381321  3.386247
  3.391165  3.396076  3.400980  3.405877  3.410767  3.415650  3.420527  3.425395
  3.430258  3.435113  3.439961  3.444803  3.449638  3.454466  3.459287  3.464102
  3.468910  3.473711  3.478505  3.483294  3.488075  3.492850  3.497618  3.502380
  3.507136  3.511885  3.516627  3.521363  3.526093  4.012481  3.535534  3.540245
  3.544950  3.549648  3.554340  3.559026  3.563706  3.568380  3.573047  3.577709
  3.582364  3.587014  3.591657  3.596295  3.600926  3.605551  3.610171  3.614784
  3.619392  3.623994  3.628590  3.633181  3.637765  3.642344  3.646917  3.651484
  3.656045  3.660601  3.665151  3.669696  3.674235  3.678768  3.683296  3.687818
  3.692334  3.696846  3.701351  3.705851  3.710346  3.714835  3.719319  3.723798
  3.728271  3.732738  3.737200  3.741657  3.746109  3.750556  3.754997  3.759433
  3.763863  3.768289  3.772709  3.777124  3.781534  3.785939  3.790339  3.794733
  3.799123  3.803507  3.807887  3.812261  3.816630  3.820995  3.825354  3.829709
  3.834058  3.838403  3.842742  3.847077  3.851407  3.855732  3.860052  3.864367
  3.868678  3.872983  3.877284  3.881581  3.885872  3.890159  3.894440  3.898718
  3.902991  3.907258  3.911522  3.915780  3.920034  3.924284  3.928528  3.932768
  3.937004  3.941235  3.945462  3.949684  3.953901  3.958114  3.962323  3.966527
  3.970726  3.974921  3.979112  3.983299  3.987480  3.991658  3.995831  4.000000
  4.004165  4.008325  3.530817  4.016632  4.020780  4.024922  4.029061  4.033196
  4.037326  4.041452  4.045574  4.049692  4.053805  4.057914  4.062019  4.066120
  4.070217  4.074310  3.071373  4.082483
   1362.83118    
