         500
    37 620.0100098     3 615.0399780   174 610.0899658   171 605.1599731
   109 600.2500000    67 595.3599854   450 590.4899902   193 585.6400146
   223 580.8099976   331 576.0000000     8 571.2099609   325 566.4400024
   323 561.6900024   161 556.9599609   428 552.2500000   201 547.5599976
   103 542.8900146   484 538.2399902   299 533.6099854   336 529.0000000
   228 524.4099731   165 519.8399658    50 515.2899780   378 510.7599792
   303 506.2500000   360 501.7599792   449 497.2899780   329 492.8399963
    75 488.4100037   306 484.0000000   489 479.6099854   500 475.2399902
   128 470.8899841   275 466.5599976   330 462.2500000   277 457.9599915
   489 453.6900024   451 449.4400024   329 445.2099915   364 441.0000000
   201 436.8099976   464 432.6399841    74 428.4899902   337 424.3599854
   385 420.2500000   170 416.1600037    58 412.0899963   307 408.0399780
   410 404.0099792   474 400.0000000   366 396.0099792   249 392.0399780
   187 388.0899963   211 384.1600037   276 380.2500000   499 376.3599854
   495 372.4899902   373 368.6399841   477 364.8099976    47 361.0000000
   367 357.2099915   376 353.4400024   473 349.6900024   353 345.9599915
   407 342.2500000   279 338.5599976    31 334.8899841   240 331.2399902
   299 327.6099854    69 324.0000000   294 320.4100037   260 316.8399963
   443 313.2899780   152 309.7599792   335 306.2500000   332 302.7599792
   252 299.2900085   131 295.8399963    38 292.4100037    51 289.0000000
   275 285.6099854   188 282.2399902     8 278.8899841   396 275.5599976
   310 272.2500000   387 268.9599915   477 265.6900024    57 262.4400024
   159 259.2099915   298 256.0000000    24 252.8099976    57 249.6399994
   108 246.4899902    50 243.3600006    37 240.2500000   123 237.1599884
   222 234.0899963   104 231.0399933   283 228.0099945    12 225.0000000
   210 222.0099945   199 219.0399933   488 216.0899963   346 213.1599884
     2 210.2500000    65 207.3600006    23 204.4899902   420 201.6399994
   339 198.8099976   291 196.0000000   367 193.2099915    58 190.4400024
   420 187.6900024   417 184.9599915   373 182.2500000   422 179.5599976
   264 176.8899994   333 174.2399902   365 171.6100006   205 169.0000000
   178 166.4100037   368 163.8399963   236 161.2899933   231 158.7599945
   380 156.2500000   351 153.7599945   129 151.2899933   469 148.8399963
   228 146.4100037   404 144.0000000   454 141.6100006   347 139.2399902
   110 136.8899994   427 134.5599976   372 132.2500000   151 129.9599915
   336 127.6899948   309 125.4399948   484 123.2099991   495 121.0000000
   169 118.8099976   460 116.6399994   170 114.4899979   465 112.3600006
   273 110.2500000   233 108.1599960    88 106.0899963   189 104.0400009
    88 102.0099945   178 100.0000000   333  98.0099945   309  96.0400009
   234  94.0899963   158  92.1599960   134  90.2500000   100  88.3600006
   208  86.4899979   490  84.6399994   272  82.8099976    65  81.0000000
   402  79.2099991   423  77.4399948   355  75.6899948   264  73.9599991
   332  72.2500000   450  70.5599976   471  68.8899994    57  67.2399979
   433  65.6100006   316  64.0000000   121  62.4099998    80  60.8400002
    11  59.2899971    95  57.7599983   156  56.2500000   405  54.7599983
